@RELATION Untitled

@ATTRIBUTE fLength	real
@ATTRIBUTE fWidth	real
@ATTRIBUTE fSize	real
@ATTRIBUTE fConc	real
@ATTRIBUTE fConc1	real
@ATTRIBUTE fAsym	real
@ATTRIBUTE fM3Long	real
@ATTRIBUTE fM3Trans	real
@ATTRIBUTE fAlpha	real
@ATTRIBUTE fDist	real
@ATTRIBUTE class	{g,h}

@DATA
42.3886,9.4983,2.8021,0.4117,0.2579,7.8464,27.117,-5.3561,28.478,245.443,h
19.9609,10.8728,2.2878,0.6186,0.3325,-7.15,17.3875,-7.5802,9.768,190.531,g
20.6454,6.839,2.2844,0.774,0.4545,20.3461,14.9016,5.7986,2.7533,175.992,g
71.3341,22.0743,3.7242,0.1212,0.1116,-45.2497,-59.6576,16.6974,57.6328,153.9082,h
52.0776,17.9786,2.7059,0.2677,0.1407,-54.8358,7.2205,7.7741,4.111,212.352,g
25.7967,9.4117,2.4676,0.4974,0.3083,-11.6324,11.0684,4.6974,44.734,205.278,h
12.3037,11.5968,2.5923,0.5306,0.332,30.5678,17.1736,12.08,5.0091,183.4009,h
22.8962,8.6891,2.6453,0.5457,0.4265,13.1812,25.2332,-1.7451,40.9458,99.6347,h
33.055,15.1941,2.3444,0.371,0.1878,10.2965,22.9021,7.8267,9.323,178.204,g
17.666,11.1267,2.5365,0.4626,0.2646,3.3562,21.2237,-11.6285,61.3469,150.4692,h
45.2808,20.8866,3.0927,0.1979,0.103,8.9519,-24.6513,-5.7971,3.4724,217.62,g
19.8334,12.6453,2.5459,0.5206,0.3115,16.5084,13.8988,-4.6716,39.5399,135.535,g
13.0019,10.9301,2.1319,0.7528,0.4613,-13.9186,6.0317,9.177,66.374,154.086,g
24.9831,17.0385,2.5422,0.3816,0.1966,22.3242,20.9416,-10.4299,6.432,108.469,g
82.2445,25.5172,3.5323,0.1664,0.0862,-83.7293,65.8233,-15.4517,2.889,247.003,g
44.6576,21.6739,3.0883,0.2562,0.1302,28.4687,34.8788,16.0512,22.7661,157.969,g
141.9091,34.0649,3.2953,0.2417,0.1856,-200.6945,-23.6763,20.0167,36.9793,325.0043,h
32.7243,11.9393,2.6325,0.4266,0.2692,20.0343,25.9423,11.1904,54.5812,107.905,h
57.1095,19.0139,2.6527,0.2469,0.1301,-25.0464,44.8621,-11.3247,34.613,168.147,g
19.8584,15.5018,2.6405,0.476,0.2643,22.9476,15.8569,4.5488,20.1575,159.01,g
77.3579,17.2747,2.8672,0.3435,0.1799,-86.4656,51.3282,-12.7658,6.171,333.319,g
27.5741,6.6968,2.4409,0.6449,0.3243,33.3072,14.3531,5.1919,18.8663,121.775,g
21.0457,12.8915,2.3355,0.4896,0.2564,11.1856,12.237,7.797,17.5786,187.799,h
79.051,34.4773,3.7622,0.2268,0.136,13.1226,45.3094,14.7917,2.3684,343.054,g
36.4186,21.9916,2.9462,0.2377,0.1296,-14.2151,-16.3513,-16.35,23.42,147.593,g
121.8932,28.9923,3.2776,0.1305,0.0841,84.7689,77.8702,30.8205,34.5664,219.4513,h
82.3239,19.7212,3.3456,0.2477,0.1397,63.9161,78.0387,10.4831,5.5266,275.064,g
38.2081,29.6875,2.8689,0.2502,0.1508,25.2156,-30.8998,-14.7142,25.176,145.734,g
56.4815,34.5541,3.3925,0.1632,0.0824,-59.2361,36.4414,-18.2469,1.129,268.956,g
112.7844,24.5918,3.2824,0.1398,0.0704,44.6029,24.6564,13.8598,79.7353,255.6575,h
41.694,18.2801,3.1544,0.2593,0.1489,14.5372,31.7132,-9.5188,3.4088,173.079,g
34.1731,9.626,2.5024,0.4434,0.2374,26.2583,25.8125,-6.5749,1.4848,212.869,g
41.4798,13.9934,2.8847,0.3495,0.1886,24.2043,18.8001,-9.2038,82.3925,106.5458,h
103.02,23.7979,3.0045,0.2138,0.1331,-144.265,83.1531,-16.6329,8.6009,199.15,g
33.0585,9.8136,2.4371,0.5123,0.2668,-23.0547,1.2975,-8.9894,25.5014,139.179,h
64.9836,36.9749,3.2032,0.124,0.068,78.3522,51.9287,13.5087,26.7146,225.778,h
34.3489,18.4068,3.0247,0.3354,0.1743,-3.7101,5.2732,-10.2628,8.3993,207.846,g
97.3859,45.1858,3.8734,0.0957,0.0504,61.3107,73.4191,-36.4356,32.302,185.712,h
28.1067,13.507,2.6585,0.483,0.2426,22.2126,22.8514,9.4438,31.39,193.543,g
55.059,18.0137,3.068,0.2762,0.1458,50.0483,33.3449,-8.1996,1.502,186.519,g
24.9142,11.0858,2.4812,0.4455,0.2323,24.6563,20.0877,1.2165,33.1452,227.2788,h
60.8535,16.4371,2.8588,0.2464,0.1419,-33.875,-51.6825,-15.0611,2.6332,200.599,g
86.4685,25.9656,3.7818,0.1438,0.0811,-107.384,42.9666,11.3322,0.8473,254.285,g
14.8167,13.7926,2.5529,0.4229,0.2508,4.8655,-1.9956,-8.5446,47.7889,167.883,h
17.6381,15.5527,2.5441,0.5486,0.3157,-2.4099,11.5819,4.9912,64.3998,188.867,g
99.0964,36.6325,3.853,0.1462,0.0771,82.5422,108.833,29.265,0.983,161.938,g
42.9123,35.0966,3.6205,0.1917,0.1156,-2.3716,-37.3538,19.1961,44.927,29.3704,g
24.1471,15.3465,2.415,0.4077,0.2058,10.1479,8.0118,12.3829,13.717,171.925,g
78.1465,21.7463,3.0794,0.3065,0.167,46.245,47.6317,-18.971,6.181,383.674,g
75.5502,29.2845,3.5567,0.2734,0.1625,8.599,53.1994,13.8984,3.6374,339.732,g
15.6818,11.802,2.3075,0.6355,0.3818,-0.4742,2.4314,7.2352,25.156,143.561,g
103.048,28.2962,3.0962,0.2965,0.151,-114.156,-77.29,-10.6791,2.759,373.338,h
230.891,62.3233,3.2208,0.2183,0.1104,-288.613,151.662,-29.7636,88.8043,296.491,h
31.7518,14.9318,2.6817,0.3517,0.1883,-8.1542,18.4968,11.5886,4.706,202.458,g
21.7283,10.6288,2.3139,0.6019,0.3519,17.4416,17.9036,-7.5813,32.7666,217.683,g
25.1234,15.3656,2.4526,0.4974,0.2593,-7.1405,-5.4408,11.2515,31.6991,123.588,g
126.5899,24.3644,3.2131,0.2186,0.0958,54.7354,71.0188,-16.3862,32.5813,106.2486,h
105.2088,36.4719,2.8359,0.2296,0.1285,-5.771,-86.6187,-14.5813,29.8981,137.5851,h
50.3756,21.5114,2.9722,0.2303,0.1327,11.3523,-25.1446,-8.5467,2.857,281.523,g
29.8253,10.5662,2.6721,0.4319,0.25,-18.7232,18.7914,-9.1168,51.662,200.773,h
31.2748,25.1393,2.9798,0.2588,0.1378,3.3812,-11.1756,14.4151,11.808,132.816,g
31.0818,14.1038,2.4526,0.3774,0.2028,-33.0562,-14.6913,7.294,14.461,275.572,g
21.6056,15.0938,2.6684,0.5086,0.265,12.4033,4.0507,13.2303,28.138,161.126,g
25.8227,16.4357,2.5211,0.5,0.3027,-0.9485,25.6125,17.5177,0.999,186.297,h
27.1111,14.7768,2.5826,0.3817,0.2288,15.8706,-12.3721,11.6509,12.4588,225.281,g
75.6427,28.926,3.5111,0.139,0.084,-67.2102,-52.6716,15.746,17.19,221.961,h
195.2309,67.0206,3.7669,0.1195,0.0677,-119.1863,-155.8811,-40.6133,1.9242,213.1906,h
205.425,37.7936,3.2727,0.2167,0.1257,46.0952,-210.935,-29.7478,60.058,206.173,h
56.6471,23.4727,3.0654,0.3234,0.1708,-56.3223,40.8411,19.1479,8.8062,285.064,g
19.5342,7.4326,2.1717,0.7273,0.4343,-0.6138,5.5237,-4.7598,25.883,115.52,g
37.716,19.0122,2.8567,0.3658,0.194,30.0224,34.101,9.5223,21.8653,85.0906,g
42.8278,15.6132,2.6469,0.3788,0.2311,19.0315,-22.1139,10.1236,1.5938,199.1,g
41.0677,16.2578,2.7308,0.3532,0.1812,47.4405,37.9125,16.1237,17.671,213.317,g
29.8998,21.1505,2.8943,0.2742,0.1397,-1.8965,-20.03,-9.2186,11.9637,167.174,g
37.9472,6.7096,2.7039,0.4723,0.3376,33.0542,11.6496,-7.4722,79.512,201.0388,h
160.6805,25.0334,3.0186,0.3442,0.2136,-121.9785,-56.5295,-14.5834,19.5623,322.6846,h
134.978,50.8072,3.1801,0.3402,0.1734,-176.559,127.717,27.7804,58.643,313.694,h
20.9032,7.0846,2.0273,0.723,0.3803,23.4655,11.4034,6.0662,25.9219,202.874,g
19.3191,10.0015,2.2601,0.6374,0.4203,-5.275,15.1394,-9.2155,29.312,259.82,g
25.5991,12.5304,2.6959,0.4995,0.3293,7.2105,-19.2635,-9.913,8.7515,215.707,g
31.1292,17.3212,2.7796,0.309,0.1769,20.1494,15.5476,-13.6267,5.722,229.417,g
60.4811,28.5022,3.4893,0.2142,0.11,-43.9094,45.6313,15.6241,1.1058,285.973,g
69.0182,17.9498,2.8842,0.2324,0.1273,-12.7302,50.8668,8.4063,7.312,253.205,g
17.4898,7.1962,2.2753,0.8435,0.5279,-5.02,5.0717,5.32,45.254,60.518,g
13.8117,9.2433,2.3253,0.8511,0.4563,14.2011,6.2643,11.5703,62.4361,205.991,h
36.7801,21.8545,3.1297,0.2248,0.1154,5.8438,-23.6652,-15.2382,7.243,198.622,g
125.248,17.6702,2.6138,0.4063,0.2348,-40.3755,-147.918,-8.0421,83.7287,138.963,g
52.2513,19.1501,2.752,0.2779,0.1708,78.0199,-29.1554,8.5605,0.4811,185.71,g
24.6256,20.4027,2.7742,0.3583,0.1825,0.7576,21.6776,13.1129,29.3898,163.495,g
26.9593,10.0699,2.7323,0.5911,0.3158,32.3312,9.7686,12.9583,81.338,99.7466,h
20.3846,11.4401,2.4065,0.6392,0.4569,12.5566,20.6341,-9.7762,32.858,242.619,h
92.1583,44.5853,3.9172,0.1208,0.074,-46.6795,79.3432,28.9691,8.116,292.406,g
56.8061,18.1476,2.9829,0.2309,0.1191,22.455,56.0984,7.8091,11.1946,189.489,g
135.1843,94.2776,4.2125,0.0794,0.0332,-2.7071,87.4124,-82.1106,86.7509,403.1069,h
20.6072,12.7755,2.3589,0.4464,0.2254,-18.7444,1.3942,-7.2491,55.9097,188.985,g
38.3425,22.701,3.1492,0.2738,0.1989,27.3754,31.0201,-0.7477,9.9482,214.491,g
36.5413,17.8073,2.9297,0.261,0.1452,12.3615,22.0187,11.1602,21.303,135.6,g
32.0586,15.6976,2.5072,0.3826,0.2037,-2.3114,-17.7455,-11.3244,12.1807,193.794,g
31.3318,19.8114,2.6794,0.3222,0.2061,18.3913,22.1769,18.9498,18.65,77.5384,g
40.9857,34.0152,2.6395,0.289,0.1525,-24.2172,-27.7517,-12.7613,12.949,83.667,g
29.3437,12.575,2.4942,0.5032,0.2804,31.7634,24.917,-4.1189,32.1435,239.487,h
89.3079,17.0889,3.1438,0.2368,0.132,-32.0823,-27.4805,2.1437,85.8821,90.0348,h
51.8897,25.4177,3.1181,0.2301,0.117,-66.6358,39.3683,20.0536,1.075,274.19,g
57.9092,15.1095,3.0056,0.2833,0.1772,7.5798,21.283,-15.869,38.2102,133.881,h
35.8304,16.0994,2.7938,0.3248,0.1857,-17.1983,-30.1669,3.9149,13.0951,239.649,g
20.2088,16.0874,2.4997,0.4462,0.2326,-17.8504,-13.7131,-3.1458,11.052,214.072,g
37.1464,21.6205,3.3506,0.2502,0.1296,2.7761,28.1556,-12.9581,1.705,78.1894,g
20.8833,16.8717,2.5611,0.5687,0.3585,-5.7111,16.1787,-11.0063,17.9992,249.174,g
22.4791,16.8116,2.4472,0.4464,0.2268,9.5053,-9.3164,10.7868,30.8451,269.021,g
44.1799,24.1175,2.9188,0.3942,0.2092,-3.952,-31.2177,16.4441,89.8466,211.715,h
25.5211,12.6563,2.4669,0.3925,0.2065,-18.4732,-12.2247,-5.5906,83.4925,226.883,h
26.667,18.8955,2.57,0.4011,0.2005,-7.8127,-21.2795,-15.7493,85.6473,111.335,h
28.1608,24.4385,2.9996,0.2613,0.1637,12.8199,19.821,-17.0894,9.4205,65.1213,g
57.0075,18.2729,3.0566,0.2584,0.1122,39.3169,39.7592,-16.4915,30.2986,273.6688,h
23.7883,14.4309,2.5441,0.4743,0.3043,10.5786,17.7972,-10.9103,14.006,149.888,g
26.5291,15.9191,2.5988,0.4005,0.2481,24.6018,21.35,9.8111,1.578,84.1926,g
32.9748,12.4175,2.4907,0.4136,0.2601,-8.8324,12.0755,10.5371,16.2389,210.152,g
20.3612,6.9041,2.4074,0.5513,0.2962,-40.0515,6.2928,10.0156,87.0836,155.8387,h
65.7189,32.3821,3.134,0.1689,0.0856,-0.5381,-25.4792,-23.8037,1.412,254.782,g
28.7776,15.095,2.4683,0.4116,0.216,9.8831,-17.471,-10.0492,30.035,97.7925,g
23.7506,10.4472,2.3918,0.5396,0.2698,13.9593,-17.2267,-6.6435,14.155,118.524,g
117.092,59.0426,4.3359,0.0683,0.036,41.5273,101.324,26.0315,1.7267,279.212,g
19.9774,9.2051,2.4099,0.6809,0.43,0.5164,-12.105,-7.1817,3.2309,137.584,g
21.1753,19.073,2.5735,0.5501,0.3244,6.4292,16.7017,-13.972,76.2728,175.262,g
124.838,72.3293,3.3277,0.1373,0.0783,-226.867,133.497,-21.0195,12.609,236.468,h
60.5508,24.4487,3.34,0.1947,0.1241,-15.8597,-31.7991,-17.4254,11.12,144.592,g
27.5742,8.2211,2.3711,0.6,0.3255,30.668,20.5727,6.0634,18.904,110.77,h
75.4261,33.524,3.9307,0.131,0.0682,15.5649,70.572,25.4281,0.8501,249.883,g
13.4575,9.164,2.438,0.8576,0.4889,15.7633,-7.6129,10.0714,12.0227,101.5295,h
23.8094,15.5833,2.6808,0.4567,0.2284,22.8672,-18.5736,-13.0641,45.578,245.804,h
127.307,68.1682,3.0414,0.3273,0.2205,-118.288,-100.91,56.5593,34.169,280.053,h
66.8887,38.4392,2.9941,0.1468,0.081,-14.8545,-70.5258,13.9014,16.8956,223.7931,h
32.1942,15.4169,2.8058,0.3253,0.179,-4.9948,-9.731,-9.6865,19.6058,155.657,g
27.433,11.8012,2.3874,0.4016,0.2111,7.6437,20.8776,9.2076,2.1506,174.767,g
20.4899,7.2447,2.1123,0.7181,0.3745,-1.8345,9.1587,-5.7639,70.14,138.836,g
43.0769,17.081,2.721,0.2452,0.1245,-3.0213,26.8079,-3.4921,15.9601,165.809,g
45.5931,19.0426,3.2043,0.2214,0.1529,10.5501,24.091,6.5958,14.1587,114.6499,h
17.4006,7.4357,2.3334,0.7981,0.5499,-1.4761,-2.6265,4.5371,55.4594,214.62,h
19.2317,9.98,2.1987,0.557,0.3259,-23.5144,-10.2799,-2.8422,64.379,66.1449,h
28.9269,6.6407,2.5276,0.6944,0.3487,2.5945,21.9502,4.3081,2.1748,190.054,h
25.3976,10.0763,2.357,0.4967,0.2527,8.9039,19.7902,4.4057,9.2717,89.4441,g
19.4338,12.9863,2.7672,0.6564,0.3308,13.3813,17.7829,4.7167,10.3057,211.967,g
21.3644,6.9235,2.1123,0.7104,0.3977,23.3114,12.0794,-6.3617,22.934,82.7555,g
35.8905,17.5004,2.8325,0.3059,0.161,23.5892,35.2778,-12.1592,19.3813,223.303,h
25.3624,20.271,2.6005,0.447,0.2403,-14.7557,-29.5837,12.0145,37.2179,149.4033,h
161.116,38.9222,3.4483,0.1482,0.0874,-159.007,95.1593,-35.6651,33.988,185.237,h
54.9879,12.6037,2.8918,0.313,0.161,53.0342,43.6136,8.5816,33.104,238.161,h
32.2216,17.854,2.8357,0.3182,0.1613,20.0564,16.8922,-13.9134,26.4593,197.341,g
42.4352,17.724,2.7828,0.3083,0.1558,-25.8828,-26.6386,-10.6891,32.1443,222.614,h
95.598,31.8116,3.3732,0.252,0.1827,-53.0993,-54.7908,-32.6101,4.36,286.971,g
91.4258,25.4403,3.8901,0.1301,0.0652,-0.1459,87.7213,-7.6524,3.1195,245.109,g
129.362,15.1932,3.242,0.4023,0.213,-83.1281,-136.5701,-10.6892,7.4249,304.9583,h
191.611,24.4014,3.1217,0.2773,0.1522,-63.1788,-243.757,12.5444,17.321,164.423,h
37.4432,19.8188,2.9491,0.2979,0.1535,17.8821,34.0512,4.5887,8.7569,198.657,g
29.3867,18.6769,2.6345,0.3875,0.21,19.1175,22.48,-7.8413,16.874,205.283,g
36.9222,24.8825,2.4162,0.395,0.2398,11.574,36.5334,7.7639,40.404,124.2763,h
27.6894,11.8456,2.4332,0.5915,0.3272,-22.413,13.7033,4.6184,28.6542,125.9291,h
44.5834,21.4692,2.6222,0.2458,0.1277,-22.7255,-23.874,15.0791,16.8631,140.315,g
57.8035,11.2132,2.4235,0.4517,0.2333,-56.9836,33.2482,-12.087,66.5489,253.2812,h
155.683,86.7432,3.7086,0.1152,0.0613,97.9178,-147.471,57.2936,89.0275,331.552,h
93.955,42.4963,3.2955,0.1332,0.0767,-56.7601,53.6545,-26.7852,18.873,285.59,g
27.8081,18.8811,2.7825,0.3746,0.217,14.7493,22.9861,-14.4222,7.968,71.6143,g
19.5201,16.5254,2.2923,0.5816,0.324,-26.0339,12.899,-15.7086,81.779,199.401,g
63.7096,14.9147,3.124,0.1924,0.0966,32.9656,41.5932,-9.4259,0.2853,220.157,g
27.2926,8.7939,2.4935,0.5586,0.2969,-16.0749,15.1134,5.466,3.366,166.113,g
29.1562,13.4645,2.6772,0.4143,0.2114,10.5175,11.3395,10.6508,8.3777,174.145,g
128.3264,45.1891,3.8533,0.1152,0.0664,-27.6207,70.8304,-33.1567,45.1222,211.5288,h
37.1211,19.3785,2.7431,0.3686,0.1996,18.3096,28.2414,16.5466,11.929,177.352,g
26.4839,17.6552,2.8759,0.3407,0.1737,-9.7976,20.7124,14.2567,9.2085,244.753,g
54.9239,22.2381,3.183,0.2218,0.1178,19.0434,53.3134,13.9454,4.34,235.294,g
38.9482,17.256,2.5378,0.3246,0.1754,20.5385,13.8432,12.8962,26.7113,151.616,g
81.1926,34.7307,2.7545,0.4622,0.2558,-35.7786,-80.8553,12.6179,23.6908,101.0234,h
50.3232,18.5832,2.7749,0.2385,0.1301,-37.3059,-43.8958,-13.465,61.1893,196.905,h
64.581,22.5359,3.1695,0.1658,0.0849,-9.941,55.5506,-13.71,2.8079,225.199,g
53.6762,10.5604,2.9777,0.26,0.1353,8.923,-9.8148,2.9863,84.6417,173.593,h
19.4624,12.5574,2.3738,0.4989,0.2981,1.2733,-8.3848,-10.1565,15.001,140.915,g
39.5023,10.4801,2.5334,0.4129,0.2796,45.1525,27.8194,6.8898,41.692,237.537,h
36.7909,7.903,2.7521,0.4071,0.2241,4.7045,26.0861,-5.1299,20.6809,128.7129,h
78.7576,25.4387,3.0732,0.2307,0.1348,87.2912,54.6496,18.4425,28.5707,159.358,h
71.5129,22.8833,3.2174,0.1261,0.0676,25.1115,53.2844,-7.2291,9.2116,219.278,g
19.1984,7.4598,2.0881,0.7429,0.4531,-0.9994,6.1041,4.226,11.249,131.125,g
63.5841,24.0813,3.2086,0.2041,0.1067,0.3789,74.0868,8.1792,0.0608,182.771,g
56.0281,22.2748,2.9511,0.3953,0.2603,-60.4913,39.2806,21.3308,5.482,263.9465,h
65.4261,21.4481,2.6924,0.2782,0.1472,-82.6774,50.6903,-10.2465,8.129,254.745,g
46.6896,16.1692,2.9522,0.2529,0.1247,0.978,31.8552,16.5013,88.793,184.4013,h
37.1411,22.6281,2.9269,0.2331,0.1189,-6.7854,20.568,-9.823,11.7059,196.991,g
22.3607,12.3815,2.3253,0.5154,0.2719,-1.331,9.8102,5.5702,23.99,186.33,g
190.677,74.6928,3.5101,0.2135,0.1135,209.184,153.349,-71.4251,72.5933,369.048,h
47.7801,21.3242,3.297,0.1812,0.0946,76.0154,-14.0823,16.8679,4.42,182.13,g
22.996,12.9225,2.3054,0.5594,0.3243,-13.3852,-14.2164,-7.3609,9.5881,201.05,g
126.4411,97.2485,4.0199,0.0658,0.0397,-104.2694,62.9013,6.2249,88.2836,334.3687,h
130.764,77.6689,3.3468,0.1611,0.0839,192.356,-99.1321,67.8652,53.7738,86.4096,h
31.0261,17.6158,2.688,0.2954,0.1508,-43.274,-20.6766,15.625,5.614,114.424,g
26.1052,9.4291,2.5045,0.6228,0.3427,-15.1371,-10.1234,5.5135,3.9731,219.587,g
60.9546,27.9552,2.9269,0.3148,0.1675,79.4878,-32.642,-30.8033,50.487,32.9258,h
18.1899,15.2937,2.3844,0.539,0.3168,0.7575,23.3691,6.2905,6.8119,55.9963,h
195.5007,23.1589,3.0301,0.2077,0.0977,177.7441,182.673,13.715,9.2168,69.8597,h
24.3133,10.2983,2.4464,0.5188,0.2665,8.363,16.6826,-6.5193,1.8092,246.549,g
39.0348,19.4764,2.6754,0.2948,0.1648,36.0968,6.7564,10.419,81.0166,229.4088,h
61.0387,9.9631,2.6232,0.3667,0.194,29.4891,50.759,-7.303,64.2081,243.605,h
32.9306,9.7889,2.6096,0.4668,0.2666,-4.2596,27.1243,6.4373,14.345,147.302,g
44.8409,20.9502,2.896,0.2757,0.1696,-7.7753,-38.3082,13.106,1.0638,171.685,g
48.3426,16.9195,3.1407,0.2199,0.1132,43.944,32.3363,4.1885,0.386,193.943,g
22.7698,11.3577,2.534,0.5556,0.288,10.182,5.6998,3.9827,15.1204,116.047,g
35.1537,22.1023,2.7948,0.3528,0.1901,48.0096,13.3081,13.0555,0.2226,243.74,h
46.9247,20.2722,2.7486,0.314,0.1722,31.8542,31.0256,16.7207,5.1486,270.211,g
64.9471,26.449,2.5741,0.3911,0.2039,37.2447,80.4606,-19.5332,8.6118,238.6039,h
21.699,17.4339,2.4878,0.3772,0.1967,-8.8234,-10.6938,14.0514,39.035,185.413,g
